ID,NAME,LAT,LON
KVNX,VANCE AFB,36.740617,-98.127717
PACG,SITKA,56.852778,-135.529167
PAEC,NOME,64.511389,-165.295
TJUA,SAN JUAN,18.115667,-66.078167
TJRV,JOSE APONTE DE LA TORR,18.256,-65.637
TCVG,COVINGTON,38.898056,-84.58
TIAH,HOUSTON INTL,30.065,-95.566944
TRDU,RALEIGH,36.001944,-78.696944
TICH,WICHITA,37.506944,-97.436944
KAMX,MIAMI,25.611083,-80.412667
KAPX,GAYLORD,44.90635,-84.719533
KCXX,BURLINGTON,44.511,-73.166431
KFSX,FLAGSTAFF,34.574333,-111.198444
KGYX,PORTLAND,43.891306,-70.256361
KHNX,SAN JOAQUIN VALLEY,36.314181,-119.632139
KHTX,HUNTSVILLE,34.930556,-86.083611
TBNA,NASHVILLE,35.98,-86.661944
TSTL,ST LOUIS,38.805,-90.488889
TTPA,TAMPA,27.86,-82.518056
TIAD,WASHINGTON DULLES,39.083889,-77.528889
KIND,INDIANAPOLIS,39.7075,-86.280278
KINX,TULSA,36.175131,-95.564161
KIWX,FT WAYNE,41.358611,-85.7
KLOT,CHICAGO,41.604444,-88.084444
KMAF,MIDLAND ODESSA,31.943461,-102.18925
KCAE,COLUMBIA,33.948722,-81.118278
KAKQ,NORFOLK RICH,36.98405,-77.007361
KBBX,BEALE AFB,39.495639,-121.631611
KBGM,BINGHAMTON,42.199694,-75.984722
KBIS,BISMARCK,46.770833,-100.760556
KDGX,JACKSON BRANDON,32.279944,-89.984444
KEPZ,EL PASO,31.873056,-106.698
KFDR,ALTUS AFB,34.362194,-98.976667
KFWS,DALLAS,32.573,-97.30315
KGJX,GRAND JUNCTION,39.062169,-108.213761
KICT,WICHITA,37.654444,-97.443056
KLBB,LUBBOCK,33.654139,-101.814167
KLSX,ST LOUIS,38.698611,-90.682778
KLZK,LITTLE ROCK,34.8365,-92.262194
KMLB,MELBOURNE,28.113194,-80.654083
KNKX,SAN DIEGO,32.919017,-117.0418
KSJT,SAN ANGELO,31.371278,-100.4925
PAHG,ANCHORAGE,60.725914,-151.351467
KFSD,SIOUX FALLS,43.587778,-96.729444
TORD,CHICAGO OHARE,41.796944,-87.858056
TDEN,DENVER,39.728056,-104.52611
TDTW,DETROIT,42.111111,-83.515
TMEM,MEMPHIS,34.896111,-89.993056
TSLC,SALT LAKE CITY,40.966944,-111.93
KBOX,BOSTON,41.955778,-71.136861
KFCX,ROANOKE,37.0244,-80.273969
KFSX,FLAGSTAFF,34.574333,-111.198444
KHPX,FT CAMPBELL,36.736972,-87.285583
KILN,CINCINNATI,39.420483,-83.82145
KJGX,ROBINS AFB,32.675683,-83.350833
KLTX,WILMINGTON,33.98915,-78.429108
KMHX,MOREHEAD CITY,34.775908,-76.876189
KMTX,SALT LAKE CITY,41.262778,-112.447778
KNQA,MEMPHIS,35.344722,-89.873333
KRIW,RIVERTON,43.066089,-108.4773
KMAX,MEDFORD,42.081169,-122.717369
KMVX,GRAND FORKS,47.527778,-97.325556
KOTX,SPOKANE,47.680417,-117.626778
KRGX,RENO,39.754056,-119.462028
LPLA,LAJES AB,38.73028,-27.32167
KTYX,FT DRUM,43.755694,-75.679861
KVAX,MOODY AFB,30.890278,-83.001806
TBOS,BOSTON,42.158056,-70.933056
TBWI,BALTIMORE WASHINGTON,39.09,-76.63
TCMH,COLUMBUS,40.006111,-82.715
TDFW,DALLAS FT WORTH,33.065,-96.91805600000002
TDAY,DAYTON,40.021944,-84.123056
TMIA,MIAMI,25.758056,-80.491111
TJFK,NYC JFK,40.588889,-73.881111
TPHX,PHOENIX,33.421111,-112.16305
KVWX,EVANSVILLE,38.26025,-87.724528
KARX,LA CROSSE,43.822778,-91.191111
KDLH,DULUTH,46.83694400000001,-92.209722
KEAX,KANSAS CITY,38.81025,-94.264472
KGRR,GRAND RAPIDS,42.893889,-85.544889
KIWA,PHOENIX,33.289233,-111.669917
KOKX,NYC,40.865528,-72.863917
KPDT,PENDLETON,45.69065,-118.852931
KRLX,CHARLESTON,38.311111,-81.722778
KSHV,SHREVEPORT,32.450833,-93.84125
KUEX,HASTINGS,40.320833,-98.441944
